state,weight,per person
AKNative Hawaiian/Other Pacific IslanderAdults 35-54Female,0.0,0.0
AKNative Hawaiian/Other Pacific IslanderAdults 55-64Male,0.0,0.0
AKNative Hawaiian/Other Pacific IslanderAdults 55-64Female,0.0,0.0
AKNative Hawaiian/Other Pacific Islander65+Male,0.0,0.0
AKNative Hawaiian/Other Pacific Islander65+Female,0.0,0.0
AKMultiple RacesAdults 19-25Male,2.9753934957898182e-05,1.6172302830159677
AKMultiple RacesAdults 19-25Female,1.9835956638598787e-05,1.1087704577269715
AKMultiple RacesAdults 26-34Male,1.9835956638598787e-05,0.7213545172902092
AKMultiple RacesAdults 26-34Female,2.9753934957898182e-05,1.1127588446231322
AKMultiple RacesAdults 35-54Male,5.9507869915796364e-05,1.222783872524268
AKMultiple RacesAdults 35-54Female,8.926180487369455e-05,1.8862619372306406
AKMultiple RacesAdults 55-64Male,1.9835956638598787e-05,0.7596081632347725
AKMultiple RacesAdults 55-64Female,2.9753934957898182e-05,1.1717687791887315
AKMultiple Races65+Male,4.958989159649697e-05,1.9282361140001816
AKMultiple Races65+Female,3.9671913277197574e-05,1.5863946609299666
AZWhiteAdults 19-25Male,0.0009719618752913406,0.8576263757087235
AZWhiteAdults 19-25Female,0.0009124540053755442,0.7828865655646433
AZWhiteAdults 26-34Male,0.001408352921340514,0.9551200822400499
AZWhiteAdults 26-34Female,0.0014876967478949091,0.9810696736068518
AZWhiteAdults 35-54Male,0.002846459777638926,0.9692143956132588
AZWhiteAdults 35-54Female,0.0027373620161266327,0.906329260611405
AZWhiteAdults 55-64Male,0.0014876967478949091,0.9845200721440375
AZWhiteAdults 55-64Female,0.0013984349430212146,0.8998940667317352
AZWhite65+Male,0.0020331855554563756,0.9167216225739221
AZWhite65+Female,0.0018943338589861843,0.8305311795490279
AZBlackAdults 19-25Male,9.917978319299394e-06,0.11030695197772383
AZBlackAdults 19-25Female,1.9835956638598787e-05,0.21452200128212168
AZBlackAdults 26-34Male,3.9671913277197574e-05,0.33912550578061385
AZBlackAdults 26-34Female,9.917978319299394e-06,0.08244027334804863
AZBlackAdults 35-54Male,7.934382655439515e-05,0.34053266504976026
AZBlackAdults 35-54Female,3.9671913277197574e-05,0.16556469809618518
AZBlackAdults 55-64Male,9.917978319299394e-06,0.08273021381427416
AZBlackAdults 55-64Female,9.917978319299394e-06,0.0804457503164441
AZBlack65+Male,2.9753934957898182e-05,0.16909692096485504
AZBlack65+Female,2.9753934957898182e-05,0.16442757797963226
AZHispanicAdults 19-25Male,0.0001686056314280897,0.25356723866577396
