,2016 - D,2016 - R,2012 - D,2012 - R,2008 - D,2008 - R,2004 - D,2004 - R,2000 - D,2000 - R,1996 - D,1996 - R,1992 - D,1992 - R
NE,33.7,58.75,38.03,59.8,41.6,56.53,32.68,65.9,33.25,62.25,34.95,53.65,29.4,46.58
NV,47.92,45.5,52.36,45.68,55.15,42.65,47.88,50.47,45.98,49.52,43.93,42.91,37.36,34.73
NH,46.98,46.61,51.98,46.4,54.13,44.52,50.24,48.87,46.8,48.07,49.32,39.37,38.91,37.69
NJ,55.45,41.35,58.38,40.59,57.27,41.7,52.92,46.24,56.13,40.29,53.72,35.86,42.95,40.58
NM,48.26,40.04,52.99,42.84,56.91,41.78,49.05,49.84,47.91,47.85,49.18,41.86,45.9,37.34
NY,59.01,36.52,63.35,35.17,62.88,36.03,58.37,40.08,60.21,35.23,59.47,30.61,49.73,33.88
NC,46.17,49.83,48.35,50.39,49.7,49.38,43.58,56.02,43.2,56.03,44.04,48.73,42.65,43.44
ND,27.23,62.96,38.69,58.32,44.62,53.25,35.5,62.86,33.06,60.66,40.13,46.94,32.18,44.22
OH,43.56,51.69,50.67,47.69,51.5,46.91,48.71,50.81,46.46,49.97,47.38,41.02,40.18,38.35
OK,28.93,65.32,33.23,66.77,34.35,65.65,34.43,65.57,38.43,60.31,40.45,48.26,34.02,42.65
OR,50.07,39.09,54.24,42.15,56.75,40.4,51.35,47.19,46.96,46.52,47.15,39.06,42.48,32.53
PA,47.46,48.18,51.97,46.59,54.49,44.17,50.92,48.42,50.6,46.43,49.17,39.97,45.15,36.13
RI,54.41,38.9,62.7,35.24,62.86,35.06,59.42,38.67,60.99,31.91,59.71,26.82,47.04,29.02
SC,40.67,54.94,44.09,54.56,44.9,53.87,40.9,57.98,40.9,56.84,43.85,49.89,39.88,48.02
SD,31.74,61.53,39.87,57.89,44.75,53.16,38.44,59.91,37.56,60.3,43.03,46.49,37.14,40.66
TN,34.72,60.72,39.08,59.48,41.83,56.9,42.53,56.8,47.28,51.15,48,45.59,47.08,42.43
TX,43.24,52.23,41.38,57.17,43.68,55.45,38.22,61.09,37.98,59.3,43.83,48.76,37.08,40.56
UT,27.46,45.54,24.75,72.79,34.41,62.58,26,71.54,26.34,66.83,33.3,54.37,24.65,43.36
VT,56.68,30.27,66.57,30.97,67.46,30.45,58.94,38.8,50.63,40.7,53.35,31.09,46.11,30.42
VA,49.73,44.41,51.16,47.28,52.63,46.33,45.48,53.68,44.44,52.47,45.15,47.1,40.59,44.97
WA,52.54,36.83,56.16,41.29,57.65,40.48,52.82,45.64,50.16,44.58,49.84,37.3,43.41,31.97
WV,26.43,68.5,35.54,62.3,42.59,55.71,43.2,56.06,45.59,51.92,51.51,36.76,48.41,35.39
WI,46.45,47.22,52.83,45.89,56.22,42.31,49.7,49.32,47.83,47.61,48.81,38.48,41.13,36.78
WY,21.63,67.4,27.82,68.64,32.54,64.78,29.07,68.86,27.7,67.76,36.84,49.81,34.1,39.7
,,,,,,,,,,,,,,
